Date	Close	Shares Traded	Turnover (Rs. Cr)	Policy Repo Rate	fed funds rate
11-Oct-21	17945.95	375756457	29000.2	4	0.25
12-Oct-21	17991.95	355568313	26491.42	4	0.25
13-Oct-21	18161.75	506679748	34503	4	0.25
14-Oct-21	18338.55	538714440	38903.16	4	0.25
18-Oct-21	18477.05	469883515	36800.84	4	0.25
19-Oct-21	18418.75	368230309	30505.86	4	0.25
20-Oct-21	18266.6	371276478	28968.42	4	0.25
21-Oct-21	18178.1	365902008	30839.79	4	0.25
22-Oct-21	18114.9	324748084	26938.88	4	0.25
25-Oct-21	18125.4	418703647	34572.34	4	0.25
26-Oct-21	18268.4	341377869	29764.61	4	0.25
27-Oct-21	18210.95	335248487	30823.75	4	0.25
28-Oct-21	17857.25	374205784	30222.34	4	0.25
29-Oct-21	17671.65	336466864	28136	4	0.25
1-Nov-21	17929.65	281190130	24354.38	4	0.25
2-Nov-21	17888.95	296441997	23371.51	4	0.25
3-Nov-21	17829.2	330995982	26186.85	4	0.25
4-Nov-21	17916.8	48520856	3637.06	4	0.25
8-Nov-21	18068.55	338919483	30908.23	4	0.25
9-Nov-21	18044.25	270197527	23686.09	4	0.25
10-Nov-21	18017.2	261446523	22281.11	4	0.25
11-Nov-21	17873.6	232121151	20074.78	4	0.25
12-Nov-21	18102.75	249111898	22164.33	4	0.25
15-Nov-21	18109.45	280428633	19099.6	4	0.25
16-Nov-21	17999.2	267431829	24101.67	4	0.25
17-Nov-21	17898.65	295715938	22950.84	4	0.25
18-Nov-21	17764.8	278425148	22625.36	4	0.25
22-Nov-21	17416.55	356400425	29570.57	4	0.25
23-Nov-21	17503.35	308843255	26240.41	4	0.25
24-Nov-21	17415.05	298052158	23766.93	4	0.25
25-Nov-21	17536.25	255947032	21953.33	4	0.25
26-Nov-21	17026.45	356330009	28485.53	4	0.25
29-Nov-21	17053.95	348888750	27428.2	4	0.25
30-Nov-21	16983.2	497999836	41494.9	4	0.25
1-Dec-21	17166.9	295542125	24098.73	4	0.25
2-Dec-21	17401.65	279867500	22473.64	4	0.25
3-Dec-21	17196.7	292526485	23100.57	4	0.25
6-Dec-21	16912.25	231716681	17912.15	4	0.25
7-Dec-21	17176.7	254144221	21693.69	4	0.25
8-Dec-21	17469.75	257791948	21665.95	4	0.25
9-Dec-21	17516.85	237170272	18984.75	4	0.25
10-Dec-21	17511.3	204467484	16399.53	4	0.25
13-Dec-21	17368.25	256560534	20592.03	4	0.25
14-Dec-21	17324.9	270965586	20459.79	4	0.25
15-Dec-21	17221.4	214972109	17046.42	4	0.25
16-Dec-21	17248.4	219496063	18493.54	4	0.25
17-Dec-21	16985.2	354591366	31326.91	4	0.25
20-Dec-21	16614.2	330614079	25123.59	4	0.25
21-Dec-21	16770.85	241030834	19783.04	4	0.25
22-Dec-21	16955.45	207946105	17443.94	4	0.25
23-Dec-21	17072.6	196965302	15755.89	4	0.25
